slug,name,botanical,genus,category,storedColor,candidateTrueColors,finalVerdict,confidence,shopperRelevance,colorAffectsSizeOrCare,notes
carnation,Carnation,Dianthus caryophyllus,Dianthus,Perennial,pink,red; white; pink; yellow; salmon; purple; picotee/bicolor,clearly-multi,0.97,high,,"Dianthus caryophyllus is the archetypal multicolor flower - red, white, pink, yellow, purple, salmon, plus picotee bicolors. Shoppers know it and actively choose color. Pink/red is a reasonable default. | Genuine confirm - this is the textbook multicolor flower and I could not refute it. Bred pigment colors (red, white, pink, yellow, salmon, lavender/purple) plus picotee bicolors are all real, stable, and mass-marketed; shoppers actively pick carnation color. One correction to guard against: blue, green, black, and rainbow carnations are artificially DYED cut stems, and the mauve/blue 'Moondust' line is genetically engineered (Suntory), so none of those should be stored as natural colors. Also note the garden-center 'Dianthus' shelf blends D. caryophyllus with pinks/Sweet William hybrids, but the multicolor claim holds for the species itself. Pink is a fine default; red is equally defensible."
primrose,Primrose,Primula,Primula,Perennial,yellow,yellow; white; red; pink; purple; blue; orange,clearly-multi,0.96,high,,"Primula is one of the most rainbow-colored spring genera in cultivation: garden polyanthus and P. vulgaris/acaulis strains come in yellow, red, pink, purple, blue, white and orange, frequently bicolored. The stored yellow is the botanical wild-type but badly undersells the sold range. | I tried to refute the multi-color claim and could not. The common garden ""primrose"" (Primula vulgaris / P. acaulis and the polyanthus group P. x polyantha) is one of the genuinely most rainbow-colored spring bedding plants in ordinary commerce: potted primroses in supermarkets and garden centers every late winter/spring routinely include yellow, white, red, pink, purple, blue, and orange, plus picotee/bicolor eyes. This is real cultivation range, not rare collector forms. Two nuances worth recording: (1) ""Primula"" is a very large genus, and many of its OTHER species are far more color-limited (P. veris/cowslip yellow; P. denticulata mostly lilac/purple/white; P. japonica candelabra reds/pinks/white; auriculas a separate specialist world) - so the rainbow verdict is specifically the everyday P. vulgaris/acaulis/polyanthus material a home gardener actually buys, which is exactly what this catalog entry represents. (2) Unusually, ""blue"" here is a genuine flower color (e.g. 'Blue Zebra', Pacific/Crescendo blue strains), not the purple-sold-as-blue you must discount in many genera. The stored single yellow (#f0d44a) is the botanical wild-type of P. vulgaris but badly under-represents the sold range. Grown for flowers, not foliage."
climbing-rose,Climbing Rose,Rosa,Rosa,Climber,pink,pink; red; white; yellow; apricot/orange; bicolor,clearly-multi,0.95,high,,"Rosa is the archetypal multi-color genus; climbing roses are bred and sold in red, pink, white, yellow, apricot, coral, lavender and bicolors, and shoppers choose by color first. Pink is a fair common default but not uniquely so. | Rosa is the archetypal multi-color garden genus and climbing types specifically (not just bush/hybrid-tea relatives) are widely sold by color: red ('Blaze', 'Don Juan'), pink ('New Dawn', 'Zephirine Drouhin'), white ('Iceberg Climbing', 'White Dawn'), yellow ('Golden Showers', 'Lady Banks'), apricot/orange ('Compassion', 'Crown Princess Margareta'), and bicolor/striped ('Fourth of July', 'Joseph's Coat', 'Handel'). Two trims from the first pass: (1) 'coral' overlaps the apricot/salmon range rather than being a cleanly distinct offering, so I folded it in; (2) 'lavender/purple' is the weakest claim for climbers specifically  -  the famous mauve/purple roses ('Rhapsody in Blue', 'Ebb Tide') are shrubs/floribundas, and true purple climbers are uncommon at an ordinary garden center, so I dropped it from the defensible set. Blue is impossible (roses lack delphinidin) and correctly absent. Pink is a fair default but not uniquely so."
cyclamen,Cyclamen,Cyclamen,Cyclamen,Perennial,pink,white; pink; red; magenta; purple; salmon,clearly-multi,0.95,high,,"Florist's Cyclamen persicum and the hardy C. hederifolium/coum are sold across white, pink, magenta, red, purple and salmon; for the popular potted plant, color is a primary purchase decision. | Multi-color is fully defensible, but the rainbow belongs to florist's/potted Cyclamen persicum (the dominant commercial form, tender perennial often grown as a seasonal houseplant), sold in blocks by color where color is the main purchase driver. The genuinely hardy garden species in this genus, C. hederifolium and C. coum, are much narrower (essentially pink, white, and magenta). ""Red"" here means a deep crimson-magenta rather than a true scarlet, and picotee/bicolor ""Victoria"" types are also common. Cyclamen also has ornamental silver-marbled foliage, but it is grown and merchandised for its flowers."
japanese-anemone,Japanese Anemone,Anemone hupehensis,Anemone,Perennial,pink,white; pink; rose,clearly-multi,0.95,high,,"Anemone hupehensis / x hybrida is sold across pink ('September Charm'), pure white ('Honorine Jobert', 'Whirlwind'), and deep rose ('Pamina'); white-versus-pink is a defining shopper choice. Stored pink is the species default. | The multi-color claim holds and is well-defended: white ('Honorine Jobert', 'Whirlwind') vs pink ('September Charm', 'Robustissima') is a mainstream, everyday garden-center choice, with deep rose/mauve ('Pamina', 'Prince Henry') as a legitimate third. These are mass-market cultivars, not collector rarities, so 'pink' alone understates it. Important bound: Japanese anemones (A. hupehensis / A. x hybrida) live ONLY on the white-pink-rose/mauve spectrum. Do NOT inflate to the reds, blues, or purples of the broader genus, those belong to A. coronaria (De Caen/St. Brigid poppy anemones) and A. blanda, which are different plants. Single vs double is a separate axis and not a color difference."
sweet-william,Sweet William,Dianthus barbatus,Dianthus,Perennial,pink,red; pink; white; purple; bicolor/picotee,clearly-multi,0.95,high,,"Dianthus barbatus is a classic cottage plant sold in red, pink, white, and purple with strongly patterned contrasting eyes/picotee bicolors, plus dark-flowered/dark-foliage 'Sooty'/'Nigrescens'. Distinctly multicolor; pink is a fair default. | Confirmed multi-color; the claim holds under scrutiny. Sweet William is sold predominantly as mixed-color seed packs and bedding six-packs, and the contrasting-eye/picotee bicolor is the species' hallmark rather than a rare form, so ordinary gardeners routinely encounter several distinct colors. Two cautions: (1) the range is white/pink/red/crimson/purple/magenta and dark maroon only - there is no true blue, yellow, or orange in D. barbatus, so do not overclaim those. (2) 'Maroon/near-black' is the specific named cultivar 'Sooty'/'Nigrescens' (grown partly for dark foliage too); widely available as seed but a specialty single-cultivar purchase, not a generic garden-center color, so I dropped it from the defensible everyday set and note it here. Stored default 'pink' is fair, though red and bicolor are equally iconic. No genus confusion issue: relatives (carnations, pinks) share a similar color range, so no risk of borrowing colors that D. barbatus lacks."
rock-cress,Rock Cress,Aubrieta,Aubrieta,Perennial,purple,purple; blue; red; pink; white,clearly-multi,0.92,high,,"Aubrieta is bred and sold across a wide alpine palette (violet-purple, rose-pink, red, blue, white) via named cultivars like 'Red Cascade', 'Royal Blue', and 'Whitewell Gem'. Purple is the classic default, but shoppers routinely choose among the colors. | Multi-color holds up under scrutiny: Aubrieta is routinely sold by color at spring garden centers via seed mixes (Cascade/Royal Mix) and named cultivars ('Red Cascade', 'Royal Blue', pink and white 'Snowdrift' forms), so purple is just the default, not the only option. Two honesty flags: (1) The first pass's white example is WRONG. 'Whitewell Gem' is actually a deep purple/reddish-violet cultivar (perennials.com literally calls it 'Purple Rock Cress') named for a place, not the color; white does exist but via other cultivars and is the least common shade. (2) Aubrieta 'red' is really carmine/magenta and 'blue' is violet-blue/lavender, both shades adjacent to the purple base rather than true primary red/blue, though they are marketed and read as distinct. Don't confuse the genus with Arabis (also called 'rock cress', typically white/pink) or Aurinia/basket-of-gold (yellow); the genus specified here, Aubrieta, is itself genuinely multi-color."
creeping-sedum,Creeping Sedum,Sedum,Sedum,Perennial,yellow,yellow; white; pink; red,clearly-multi,0.9,high,,"Creeping Sedum is a catch-all for several mat groundcover species with genuinely different flower colors: yellow (S. acre, rupestre, kamtschaticum), white (S. album), and rose-red (S. spurium / Phedimus 'Dragon's Blood'), all common at nurseries. Yellow is a fair default but color-picking is real. | The multi-color claim survives skeptical review, but with three qualifications. (1) ""Creeping Sedum"" is a catch-all trade name for several distinct mat-forming species, not one species that color-picks; the color range is real but comes from BUYING DIFFERENT SPECIES, not from one plant offered in a palette. Yellow (S. acre, S. rupestre 'Angelina', S. kamtschaticum), white (S. album, 'Coral Carpet'), and pink-to-rose-red (S. spurium / Phedimus 'John Creech', 'Dragon's Blood', 'Fuldaglut') are all nursery staples, so yellow is a fair default. (2) ""Pink"" and ""red"" are not two independent colors: both come from the single S. spurium / Phedimus group as a continuum, with 'Dragon's Blood' / 'Fuldaglut' being the deep rose-red end of the same range 'John Creech' anchors at pink. (3) Many of these are grown chiefly for FOLIAGE ('Angelina', 'Dragon's Blood', 'Ogon'), so a shopper often picks by leaf color, but they do all bloom and the bloom colors genuinely differ. Note also S. spurium and S. kamtschaticum are botanically now Phedimus, though still sold everywhere as Sedum."
lungwort,Lungwort,Pulmonaria,Pulmonaria,Perennial,purple,blue; pink; purple; coral; white,clearly-multi,0.9,high,,"Pulmonaria is genuinely multi-colored: flowers typically open pink and age to blue/violet on the same plant, and named forms span blue ('Blue Ensign'), violet, coral/red ('Raspberry Splash', 'Redstart'), and white ('Sissinghurst White'). It also has silver-spotted foliage variation, and shoppers actively pick both bloom color and leaf pattern. Stored purple is a fair representative but understates the range. | Tried to refute and could not: Pulmonaria genuinely varies within the genus (not confused with Mertensia/Brunnera), and the cultivars driving the range are mainstream, not collector-only ('Raspberry Splash', 'Sissinghurst White', 'Blue Ensign', 'Trevi Fountain', 'Redstart'). Two honest corrections to the first pass: (1) the listed ""red"" is really coral/salmon/raspberry, not true red, so I folded it into ""coral"" rather than defending pure red; (2) Pulmonaria is a Boraginaceae color-change plant whose flowers open pink and age to blue/violet on the SAME plant, so any single stored color inherently understates it, purple is a fair-but-incomplete representative. Note also it is dual-purpose, many buyers choose it for silver-spotted foliage, but flower color remains a genuine labeled selection axis, so multi-color stands."
penstemon,Penstemon,Penstemon,Penstemon,Perennial,magenta/pink,red; purple/violet; pink/magenta; white; coral/salmon; lavender-blue,clearly-multi,0.9,high,YES,"Penstemon is a large genus spanning red, coral, pink, purple, lavender-blue, and white across species and hybrids, so any single stored color is arbitrary. The red/orange tubular species also differ in mature size and care from the big-flowered purple/pink border hybrids. | Red/orange tubular 'penstemons' (pineleaf P. pinifolius, firecracker P. eatonii/barbatus) are compact, xeric western natives wanting lean, sharply drained, low-water soil, whereas the large-flowered purple/pink European border hybrids (P. hartwegii/gloxinioides types) are bigger, shorter-lived, and want richer, evenly moist soil - so a red versus a purple 'penstemon' can be a genuinely different plant that may deserve its own catalog entry. | Confirmed multi-color and mainstream, not rare. Two caveats: (1) ""Penstemon"" is one catalog entry spanning very different plants  -  tender-ish large-flowered border/Mexicali hybrids (P. hartwegii/gloxinioides: 'Garnet', 'White Bedder', 'Apple Blossom', 'Firebird') vs hardy species (P. barbatus/eatonii red, P. digitalis white, P. heterophyllus violet-blue), so mature size, care, and hardiness vary by cultivar, not just color. (2) There is no true blue  -  the ""blue"" penstemons (heterophyllus 'Electric Blue') are really violet/lavender-blue; label it lavender-blue, not pure blue. The existing magenta/pink is a defensible cultivar color ('Hidcote Pink'/'Garnet') but arbitrary as the sole representative."
