- salvia-violet-riot | "Violet Riot" | Salvia nemorosa 'Violet Riot' | Perennial | H 0.4m x W 0.4m | 2y | bloom May-Sep #7a3aae | zones 4-8 | sun full-sun | water low | tags [purple, violet, pollinator, drought tolerant]
- salvia-rose-marvel | "Rose Marvel" | Salvia nemorosa 'Rose Marvel' | Perennial | H 0.4m x W 0.4m | 2y | bloom May-Sep #d6488e | zones 4-8 | sun full-sun | water low | tags [pink, rose, magenta, pollinator, drought tolerant]
- salvia-blue-marvel | "Blue Marvel" | Salvia nemorosa 'Blue Marvel' | Perennial | H 0.4m x W 0.4m | 2y | bloom May-Sep #5a52b8 | zones 4-8 | sun full-sun | water low | tags [blue, purple, violet, pollinator, drought tolerant]
- salvia-april-night | "April Night" | Salvia nemorosa 'April Night' | Perennial | H 0.4m x W 0.4m | 2y | bloom Apr-Aug #4e44a0 | zones 4-8 | sun full-sun | water low | tags [purple, violet, blue, pollinator, drought tolerant]
- catmint | "Catmint" | Nepeta | Perennial | H 0.5m x W 0.7m | 2y | bloom May-Sep #8f8fd6 | zones 3-8 | sun full-sun | water low | tags [purple, pollinator, drought tolerant]
- catmint-walkers-low | "Walker's Low" | Nepeta 'Walker's Low' | Perennial | H 0.6m x W 0.8m | 2y | bloom May-Sep #8a8ad6 | zones 3-8 | sun full-sun | water low | tags [blue, lavender, purple, pollinator, drought tolerant]
- catmint-six-hills-giant | "Six Hills Giant" | Nepeta 'Six Hills Giant' | Perennial | H 0.8m x W 1m | 2y | bloom May-Sep #7a7ac8 | zones 3-8 | sun full-sun | water low | tags [blue, violet, purple, pollinator, drought tolerant]
- catmint-cats-meow | "Cat's Meow" | Nepeta 'Cat's Meow' | Perennial | H 0.5m x W 0.6m | 2y | bloom Jun-Sep #7a82d0 | zones 3-8 | sun full-sun | water low | tags [blue, lavender, pollinator, drought tolerant]
- catmint-purrsian-blue | "Purrsian Blue" | Nepeta 'Purrsian Blue' | Perennial | H 0.4m x W 0.5m | 2y | bloom May-Sep #8a8ad8 | zones 3-8 | sun full-sun | water low | tags [blue, lavender, pollinator, drought tolerant]
- catmint-junior-walker | "Junior Walker" | Nepeta 'Junior Walker' | Perennial | H 0.4m x W 0.6m | 2y | bloom May-Sep #8a8ad6 | zones 3-8 | sun full-sun | water low | tags [blue, lavender, purple, pollinator, drought tolerant]
- catmint-blue-wonder | "Blue Wonder" | Nepeta × faassenii 'Blue Wonder' | Perennial | H 0.4m x W 0.5m | 2y | bloom May-Aug #6a72c8 | zones 3-8 | sun full-sun | water low | tags [blue, violet, pollinator, drought tolerant]
- catmint-pink-cat | "Pink Cat" | Nepeta 'Pink Cat' | Perennial | H 0.5m x W 0.6m | 2y | bloom May-Sep #e0a0c0 | zones 3-8 | sun full-sun | water low | tags [pink, pollinator, drought tolerant]
- catmint-snowflake | "Snowflake" | Nepeta racemosa 'Snowflake' | Perennial | H 0.3m x W 0.5m | 2y | bloom May-Aug #f2f0e8 | zones 3-8 | sun full-sun | water low | tags [white, pollinator, drought tolerant]
- catmint-little-titch | "Little Titch" | Nepeta racemosa 'Little Titch' | Perennial | H 0.2m x W 0.3m | 2y | bloom May-Aug #9a8ad0 | zones 3-8 | sun full-sun | water low | tags [blue, lavender, dwarf, pollinator, drought tolerant]
- catmint-early-bird | "Early Bird" | Nepeta 'Early Bird' | Perennial | H 0.4m x W 0.5m | 2y | bloom Apr-Sep #7a7ad0 | zones 3-8 | sun full-sun | water low | tags [blue, violet, purple, pollinator, drought tolerant]
- russian-sage | "Russian Sage" | Salvia yangii | Perennial | H 1.2m x W 0.9m | 3y | bloom Jul-Sep #9aa7d6 | zones 4-9 | sun full-sun | water low | tags [blue, fragrant, drought tolerant]
- yarrow | "Yarrow" | Achillea | Perennial | H 0.7m x W 0.6m | 2y | bloom Jun-Aug #f4c542 | zones 3-9 | sun full-sun | water low | tags [yellow, pollinator, drought tolerant]
- yarrow-moonshine | "Moonshine" | Achillea 'Moonshine' | Perennial | H 0.5m x W 0.5m | 2y | bloom Jun-Aug #f4d83a | zones 3-9 | sun full-sun | water low | tags [yellow, pollinator, drought tolerant]
- yarrow-coronation-gold | "Coronation Gold" | Achillea 'Coronation Gold' | Perennial | H 0.8m x W 0.6m | 2y | bloom Jun-Aug #e8a81e | zones 3-9 | sun full-sun | water low | tags [gold, yellow, pollinator, drought tolerant]
- yarrow-cerise-queen | "Cerise Queen" | Achillea millefolium 'Cerise Queen' | Perennial | H 0.6m x W 0.6m | 2y | bloom Jun-Aug #d63a6e | zones 3-9 | sun full-sun | water low | tags [pink, magenta, pollinator, drought tolerant]
- yarrow-paprika | "Paprika" | Achillea millefolium 'Paprika' | Perennial | H 0.5m x W 0.6m | 2y | bloom Jun-Aug #cc3a32 | zones 3-9 | sun full-sun | water low | tags [red, orange, pollinator, drought tolerant]
- yarrow-terracotta | "Terracotta" | Achillea 'Terracotta' | Perennial | H 0.7m x W 0.6m | 2y | bloom Jun-Aug #d6783a | zones 3-9 | sun full-sun | water low | tags [orange, coral, peach, pollinator, drought tolerant]
- yarrow-apricot-delight | "Apricot Delight" | Achillea millefolium 'Apricot Delight' | Perennial | H 0.6m x W 0.6m | 2y | bloom Jun-Aug #f0a07a | zones 3-9 | sun full-sun | water low | tags [coral, peach, apricot, pink, pollinator, drought tolerant]
- yarrow-red-velvet | "Red Velvet" | Achillea millefolium 'Red Velvet' | Perennial | H 0.6m x W 0.6m | 2y | bloom Jun-Aug #b82836 | zones 3-9 | sun full-sun | water low | tags [red, pollinator, drought tolerant]
- yarrow-white | "White Yarrow" | Achillea millefolium | Perennial | H 0.6m x W 0.6m | 2y | bloom Jun-Aug #f2efe6 | zones 3-9 | sun full-sun | water low | tags [white, pollinator, native, drought tolerant]
- yarrow-saucy-seduction | "Saucy Seduction" | Achillea millefolium 'Saucy Seduction' | Perennial | H 0.6m x W 0.6m | 2y | bloom Jun-Aug #d65a8e | zones 3-9 | sun full-sun | water low | tags [pink, rose, magenta, pollinator, drought tolerant]
- yarrow-pomegranate | "Pomegranate" | Achillea millefolium 'Pomegranate' | Perennial | H 0.6m x W 0.6m | 2y | bloom Jun-Aug #c22850 | zones 3-9 | sun full-sun | water low | tags [red, magenta, pollinator, drought tolerant]
- yarrow-sunny-seduction | "Sunny Seduction" | Achillea 'Sunny Seduction' | Perennial | H 0.6m x W 0.6m | 2y | bloom Jun-Aug #f0dc6a | zones 3-9 | sun full-sun | water low | tags [yellow, pollinator, drought tolerant]
- peony | "Peony" | Paeonia | Perennial | H 0.9m x W 0.9m | 3y | bloom May-Jun #ec7faa | zones 3-8 | sun full-sun | water moderate | tags [pink, fragrant, cut flower]
- peony-sarah-bernhardt | "Sarah Bernhardt" | Paeonia 'Sarah Bernhardt' | Perennial | H 0.9m x W 0.9m | 3y | bloom May-Jun #ef9ec0 | zones 3-8 | sun full-sun | water moderate | tags [pink, double, fragrant, cut flower, classic]
- peony-karl-rosenfield | "Karl Rosenfield" | Paeonia 'Karl Rosenfield' | Perennial | H 0.9m x W 0.9m | 3y | bloom May-Jun #b8283c | zones 3-8 | sun full-sun | water moderate | tags [red, double, fragrant, cut flower]
- peony-festiva-maxima | "Festiva Maxima" | Paeonia 'Festiva Maxima' | Perennial | H 0.9m x W 0.9m | 3y | bloom May-Jun #f6f2ea | zones 3-8 | sun full-sun | water moderate | tags [white, double, fragrant, cut flower]
- peony-bowl-of-beauty | "Bowl of Beauty" | Paeonia 'Bowl of Beauty' | Perennial | H 0.85m x W 0.9m | 3y | bloom May-Jun #ec88b0 | zones 3-8 | sun full-sun | water moderate | tags [pink, cream, fragrant]
- peony-coral-charm | "Coral Charm" | Paeonia 'Coral Charm' | Perennial | H 1m x W 0.9m | 3y | bloom May-Jun #f0855e | zones 3-8 | sun full-sun | water moderate | tags [coral, peach, semi-double]
- peony-duchesse-de-nemours | "Duchesse de Nemours" | Paeonia 'Duchesse de Nemours' | Perennial | H 0.85m x W 0.9m | 3y | bloom May-Jun #f7f3e8 | zones 3-8 | sun full-sun | water moderate | tags [white, cream, double, fragrant, cut flower]
