- gaura | "Gaura" | Oenothera lindheimeri | Perennial | H 0.8m x W 0.6m | 2y | bloom Jun-Sep #f0c0d0 | zones 5-9 | sun full-sun | water low | tags [pink, airy, drought tolerant]
- false-sunflower | "False Sunflower" | Heliopsis | Perennial | H 1.2m x W 0.6m | 2y | bloom Jul-Sep #f5b400 | zones 3-9 | sun full-sun | water moderate | tags [yellow, pollinator, native]
- perennial-sunflower | "Perennial Sunflower" | Helianthus | Perennial | H 1.5m x W 0.8m | 2y | bloom Aug-Oct #f5b400 | zones 4-9 | sun full-sun | water moderate | tags [yellow, pollinator, native, tall]
- spiderwort | "Spiderwort" | Tradescantia | Perennial | H 0.5m x W 0.5m | 2y | bloom Jun-Aug #6f5fb0 | zones 3-9 | sun part-sun | water moderate | tags [purple, native]
- foam-flower | "Foam Flower" | Tiarella | Perennial | H 0.3m x W 0.4m | 2y | bloom Apr-Jun #f5eef5 | zones 3-8 | sun part-shade | water moderate | tags [white, native]
- red-hot-poker | "Red Hot Poker" | Kniphofia | Perennial | H 1m x W 0.5m | 2y | bloom Jun-Aug #f0641f | zones 5-9 | sun full-sun | water low | tags [orange, architectural, drought tolerant]
- toad-lily | "Toad Lily" | Tricyrtis | Perennial | H 0.7m x W 0.5m | 2y | bloom Sep-Oct #b88fd6 | zones 4-8 | sun part-shade | water moderate | tags [purple]
- turtlehead | "Turtlehead" | Chelone | Perennial | H 0.9m x W 0.5m | 2y | bloom Aug-Sep #e890b0 | zones 3-8 | sun part-sun | water high | tags [pink, native]
- obedient-plant | "Obedient Plant" | Physostegia | Perennial | H 1m x W 0.5m | 2y | bloom Aug-Sep #e07fb0 | zones 3-9 | sun full-sun | water moderate | tags [pink, native]
- ironweed | "Ironweed" | Vernonia | Perennial | H 1.5m x W 0.6m | 2y | bloom Aug-Sep #7a4b9e | zones 4-9 | sun full-sun | water moderate | tags [purple, native, pollinator]
- jacobs-ladder | "Jacob's Ladder" | Polemonium | Perennial | H 0.5m x W 0.4m | 2y | bloom May-Jun #6f7fc6 | zones 3-7 | sun part-shade | water moderate | tags [blue]
- carnation | "Carnation" | Dianthus caryophyllus | Perennial | H 0.5m x W 0.3m | 2y | bloom Jun-Aug #e0507a | zones 5-9 | sun full-sun | water moderate | tags [pink, fragrant, cut flower]
- sweet-william | "Sweet William" | Dianthus barbatus | Perennial | H 0.4m x W 0.3m | 2y | bloom May-Jul #d6406a | zones 3-9 | sun full-sun | water moderate | tags [pink, cottage, fragrant]
- ice-plant | "Ice Plant" | Delosperma | Perennial | H 0.1m x W 0.4m | 2y | bloom Jun-Sep #e0407a | zones 5-9 | sun full-sun | water low | tags [pink, succulent, drought tolerant]
- hens-and-chicks | "Hens and Chicks" | Sempervivum | Perennial | H 0.1m x W 0.2m | 3y | bloom (none) | zones 3-8 | sun full-sun | water low | tags [succulent, foliage, evergreen, drought tolerant]
- creeping-sedum | "Creeping Sedum" | Sedum | Perennial | H 0.1m x W 0.4m | 2y | bloom Jun-Aug #f0d44a | zones 3-9 | sun full-sun | water low | tags [yellow, succulent, drought tolerant]
- rock-cress | "Rock Cress" | Aubrieta | Perennial | H 0.1m x W 0.4m | 2y | bloom Apr-May #8f5fc0 | zones 4-8 | sun full-sun | water low | tags [purple, edging, drought tolerant]
- basket-of-gold | "Basket of Gold" | Aurinia saxatilis | Perennial | H 0.2m x W 0.4m | 2y | bloom Apr-May #f0d020 | zones 3-7 | sun full-sun | water low | tags [yellow, edging, drought tolerant]
- snow-in-summer | "Snow-in-Summer" | Cerastium tomentosum | Perennial | H 0.15m x W 0.5m | 2y | bloom May-Jun #fbfbfb | zones 3-7 | sun full-sun | water low | tags [white, silver, edging, drought tolerant]
- goatsbeard | "Goatsbeard" | Aruncus dioicus | Perennial | H 1.2m x W 1m | 3y | bloom Jun-Jul #f5f0e8 | zones 3-7 | sun part-shade | water moderate | tags [white, native]
- queen-of-the-prairie | "Queen of the Prairie" | Filipendula rubra | Perennial | H 1.5m x W 0.8m | 3y | bloom Jun-Jul #e890b0 | zones 3-9 | sun full-sun | water high | tags [pink, native, tall]
- globeflower | "Globeflower" | Trollius | Perennial | H 0.6m x W 0.4m | 2y | bloom May-Jun #f5b400 | zones 3-7 | sun part-sun | water high | tags [yellow]
- bergenia | "Bergenia" | Bergenia | Perennial | H 0.4m x W 0.5m | 2y | bloom Apr-May #d6507a | zones 3-8 | sun part-sun | water moderate | tags [pink, foliage, evergreen]
- ligularia | "Ligularia" | Ligularia | Perennial | H 1.2m x W 0.8m | 2y | bloom Jul-Aug #f5b400 | zones 4-8 | sun part-shade | water high | tags [yellow, foliage]
- foamy-bells | "Foamy Bells" | Heucherella | Perennial | H 0.3m x W 0.4m | 2y | bloom May-Jun #f5eef5 | zones 4-9 | sun part-shade | water moderate | tags [foliage]
- agastache | "Anise Hyssop" | Agastache | Perennial | H 0.9m x W 0.5m | 2y | bloom Jul-Sep #8f6fc6 | zones 5-9 | sun full-sun | water low | tags [purple, pollinator, fragrant, drought tolerant]
- english-daisy | "English Daisy" | Bellis perennis | Perennial | H 0.15m x W 0.15m | 2y | bloom Apr-Jun #e890b0 | zones 4-8 | sun full-sun | water moderate | tags [pink, edging]
- echeveria | "Echeveria" | Echeveria | Perennial | H 0.1m x W 0.2m | 3y | bloom May-Jul #f0a0b0 | zones 9-11 | sun full-sun | water low | tags [succulent, foliage, container, drought tolerant]
- aloe | "Aloe" | Aloe | Perennial | H 0.4m x W 0.4m | 3y | bloom May-Jul #f0641f | zones 9-11 | sun full-sun | water low | tags [orange, succulent, drought tolerant]
- agave | "Agave" | Agave | Perennial | H 0.8m x W 1m | 4y | bloom (none) | zones 8-11 | sun full-sun | water low | tags [succulent, architectural, foliage, drought tolerant]
- ajuga | "Bugleweed" | Ajuga reptans | Perennial | H 0.15m x W 0.4m | 2y | bloom Apr-Jun #6f5fc0 | zones 3-9 | sun part-shade | water moderate | tags [purple, groundcover]
- wild-ginger | "Wild Ginger" | Asarum | Perennial | H 0.15m x W 0.3m | 3y | bloom (none) | zones 4-8 | sun full-shade | water moderate | tags [foliage, groundcover, native]
- primrose | "Primrose" | Primula | Perennial | H 0.2m x W 0.2m | 2y | bloom Mar-May #f0d44a | zones 3-8 | sun part-shade | water moderate | tags [yellow, early]
- cyclamen | "Cyclamen" | Cyclamen | Perennial | H 0.2m x W 0.2m | 2y | bloom Sep-Nov #e0507a | zones 5-9 | sun part-shade | water moderate | tags [pink]
- trillium | "Trillium" | Trillium | Perennial | H 0.3m x W 0.3m | 3y | bloom Apr-May #fbfbfb | zones 4-8 | sun full-shade | water moderate | tags [white, native, woodland]
