key,groupName,memberCount,groupType,colorGapSeverity,missingColors,note
floribunda-rose,Floribunda Roses,3,color-variants,notable,red; orange; coral/apricot,"Only 3 members (pink/white/yellow) with NO red. Red is the signature rose color and red floribundas are common (Europeana); a shopper wanting one is stuck. Unlike a large rose group, this small set does not cover color."
fuchsia,Fuchsia,7,color-variants,notable,purple; white,"All members sit in the pink/red family. Fuchsia's signature look is the purple/violet corolla (usually over pink or red sepals), and pure whites are common. No purple in a fuchsia group is a real gap a shopper would notice."
hybrid-tea-rose,Hybrid Tea & Grandiflora Roses,5,color-variants,notable,white; orange; apricot/peach,"Only 5 members spanning pink/red/yellow. Hybrid tea and grandiflora roses are THE multicolor cut-flower rose, and white and orange are among the most iconic, most-shopped rose colors, both absent. A shopper wanting a white or orange rose would be clearly frustrated. Unlike the large well-covered rose groups, this small set genuinely under-covers."
hydrangeas,Hydrangeas,4,mixed,notable,pink,"Members span distinct forms (bigleaf mophead vs panicle vs oakleaf/smooth) but the color set is only blue and white. Pink is missing entirely, yet roughly half of bigleaf hydrangeas are pink (pH-dependent blue/pink split) and many panicles age to pink/red. This is the textbook grouped-by-form-but-missing-the-color-split case; a shopper expects pink hydrangeas."
irises,Irises,3,mixed,notable,yellow; white; pink,"Only 3 members, all blue/purple. Iris means 'rainbow' and bearded/Dutch/Siberian irises cover the entire spectrum; yellow, white, and pink are extremely common and all absent. Members also straddle iris forms (mixed), but the color gap is the real problem: a rainbow flower shown only in blue/purple clearly under-covers."
salvia,Salvia,12,mixed,notable,red; coral/salmon,"Spans multiple species (perennial S. nemorosa/sylvestris in blue/purple/pink/white). The set is entirely cool-toned and MISSING RED, yet scarlet salvia (S. splendens bedding, S. coccinea, pineapple sage) is one of the most iconic salvias, and S. greggii/microphylla add coral, salmon, and hot warm tones. A shopper wanting red salvia would clearly be frustrated."
sedum,Sedum,9,mixed,notable,yellow; white,"The stored colors (pale pink, pink, red) are entirely the tall border-sedum / Hylotelephium 'Autumn Joy' side. The whole creeping-stonecrop half of the genus is missing its signature bloom colors: bright yellow (S. acre, S. kamtschaticum) and white (S. album). A shopper wanting a yellow-flowering groundcover sedum finds none."
shrub-landscape-roses,Shrub & Landscape Roses,8,color-variants,notable,yellow; white; apricot/coral,"Landscape rose series (Knock Out, Drift, etc.) are sold across a wide palette, but the members only cover pink and red. Missing the very common yellow ('Sunny Knock Out'), white, and apricot/coral/peach (Drift, Oso Easy) selections a shopper of low-care landscape roses would absolutely expect."
allium,Allium,9,mixed,minor,blue,"Grouping spans genuinely different ornamental onion forms (giant globe, drumstick, star-of-Persia, yellow moly), not just colors. Purple/pink/white/yellow are well covered; true-blue Allium caeruleum is a real but niche gap."
amaranth,Amaranth,5,species-or-form-types,minor,gold/bronze; burgundy,"Members are distinct forms (trailing love-lies-bleeding vs upright plume vs foliage tricolor), not one plant recolored. Red/green/orange present; gold-bronze ('Hot Biscuits') and deep burgundy plume forms are a modest gap."
